infokeep  | 2026/03/12 11:08:11 Worker: Found 4 total active reminders to evaluate at 11:08
infokeep  | 2026/03/12 11:18:11 Worker: Found 4 total active reminders to evaluate at 11:18
infokeep  | 2026/03/12 11:18:13 "GET http://13361336.xyz/ HTTP/1.1" from 172.19.0.1:58030 - 302 29B in 68.493┬╡s
infokeep  | 2026/03/12 11:18:13 "GET http://13361336.xyz/ HTTP/1.1" from 172.19.0.1:58030 - 302 29B in 16.14┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 12.64┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/xmlrpc.php?rsd HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 12.07┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/ HTTP/1.1" from 172.19.0.1:58030 - 302 29B in 24.101┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/blog/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 11.991┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/web/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 15.551┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 11.57┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/website/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 16.94┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/wp/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 11.04┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/news/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 9.831┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/2018/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 9.701┬╡s
infokeep  | 2026/03/12 11:18:14 "GET http://13361336.xyz/2019/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 10.661┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/shop/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 10.73┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/wp1/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 10.641┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/test/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 11.201┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/media/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 10.17┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/wp2/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 10.96┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/site/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 11.011┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/cms/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 9.541┬╡s
infokeep  | 2026/03/12 11:18:15 "GET http://13361336.xyz/sito/wp-includes/wlwmanifest.xml HTTP/1.1" from 172.19.0.1:58030 - 404 19B in 10.92┬╡s
infokeep  | 2026/03/12 11:19:11 Worker: Found 4 total active reminders to evaluate at 11:19
infokeep  | 2026/03/12 11:20:11 Worker: Found 4 total active reminders to evaluate at 11:20
infokeep  | 2026/03/12 11:21:11 Worker: Found 4 total active reminders to evaluate at 11:21
infokeep  | 2026/03/12 11:22:11 Worker: Found 4 total active reminders to evaluate at 11:22
infokeep  | 2026/03/12 11:23:11 Worker: Found 4 total active reminders to evaluate at 11:23
infokeep  | 2026/03/12 11:24:11 Worker: Found 4 total active reminders to evaluate at 11:24
infokeep  | 2026/03/12 11:24:11 Worker: Firing reminder: test3 (ID: 4) matching time 11:24
infokeep  | 2026/03/12 11:24:11 Worker: Attempting to send push notification for 4
infokeep  | 2026/03/12 11:24:11 Worker: Found 19 push subscriptions for user 1
infokeep  | 2026/03/12 11:25:11 Worker: Found 3 total active reminders to evaluate at 11:25
infokeep  | 2026/03/12 11:26:11 Worker: Found 3 total active reminders to evaluate at 11:26
infokeep  | 2026/03/12 11:27:11 Worker: Found 3 total active reminders to evaluate at 11:27
infokeep  | 2026/03/12 11:28:11 Worker: Found 3 total active reminders to evaluate at 11:28
infokeep  | 2026/03/12 11:29:11 Worker: Found 3 total active reminders to evaluate at 11:29
infokeep  | 2026/03/12 11:30:11 Worker: Found 3 total active reminders to evaluate at 11:30
infokeep  | 2026/03/12 11:31:11 Worker: Found 3 total active reminders to evaluate at 11:31
infokeep  | 2026/03/12 11:32:11 Worker: Found 3 total active reminders to evaluate at 11:32
infokeep  | 2026/03/12 11:33:11 Worker: Found 3 total active reminders to evaluate at 11:33
infokeep  | 2026/03/12 11:34:11 Worker: Found 3 total active reminders to evaluate at 11:34
infokeep  | 2026/03/12 11:35:11 Worker: Found 3 total active reminders to evaluate at 11:35
infokeep  | 2026/03/12 11:36:11 Worker: Found 3 total active reminders to evaluate at 11:36
infokeep  | 2026/03/12 11:37:11 Worker: Found 3 total active reminders to evaluate at 11:37
infokeep  | 2026/03/12 11:37:11 Worker: Firing reminder: test6 (ID: 5) matching time 11:37
infokeep  | 2026/03/12 11:37:11 Worker: Attempting to send push notification for 5
infokeep  | 2026/03/12 11:37:11 Worker: Found 19 push subscriptions for user 1
infokeep  | 2026/03/12 11:38:11 Worker: Found 2 total active reminders to evaluate at 11:38
infokeep  | 2026/03/12 11:39:11 Worker: Found 2 total active reminders to evaluate at 11:39
infokeep  | 2026/03/12 11:40:11 Worker: Found 2 total active reminders to evaluate at 11:40
infokeep  | 2026/03/12 11:41:11 Worker: Found 2 total active reminders to evaluate at 11:41
infokeep  | 2026/03/12 11:41:11 "GET http://13361336.xyz/ HTTP/1.1" from 172.19.0.1:56778 - 302 29B in 80.833┬╡s
infokeep  | 2026/03/12 11:41:12 "GET http://13361336.xyz/login HTTP/1.1" from 172.19.0.1:56778 - 200 66213B in 10.464527ms
infokeep  | 2026/03/12 11:42:11 Worker: Found 2 total active reminders to evaluate at 11:42
infokeep  | 2026/03/12 11:43:11 Worker: Found 2 total active reminders to evaluate at 11:43
infokeep  | 2026/03/12 11:44:11 Worker: Found 2 total active reminders to evaluate at 11:44
infokeep  | 2026/03/12 11:45:11 Worker: Found 2 total active reminders to evaluate at 11:45
infokeep  | 2026/03/12 11:46:11 Worker: Found 2 total active reminders to evaluate at 11:46
infokeep  | 2026/03/12 11:47:11 Worker: Found 2 total active reminders to evaluate at 11:47
infokeep  | 2026/03/12 11:47:58 "GET http://13361336.xyz/robots.txt HTTP/1.1" from 172.19.0.1:38466 - 404 19B in 131.186┬╡s
infokeep  | 2026/03/12 11:48:11 Worker: Found 2 total active reminders to evaluate at 11:48
infokeep  | 2026/03/12 11:49:11 Worker: Found 2 total active reminders to evaluate at 11:49
infokeep  | 2026/03/12 11:50:11 Worker: Found 2 total active reminders to evaluate at 11:50
infokeep  | 2026/03/12 11:51:11 Worker: Found 2 total active reminders to evaluate at 11:51
infokeep  | 2026/03/12 11:52:11 Worker: Found 2 total active reminders to evaluate at 11:52
infokeep  | 2026/03/12 11:53:11 Worker: Found 2 total active reminders to evaluate at 11:53
infokeep  | 2026/03/12 11:54:11 Worker: Found 2 total active reminders to evaluate at 11:54
infokeep  | 2026/03/12 11:55:11 Worker: Found 2 total active reminders to evaluate at 11:55
